队名,队员号,出场次数,首发次数,上场时间,投篮命中率,投篮命中次数,投篮出手次数,三分命中率,三分命中次数,三分出手次数,罚球命中率,罚球命中次数,罚球出手次数,篮板总数,前场篮板,后场篮板,助攻,抢断,盖帽,失误,犯规,得分
107,0,75,75,35.6,43.60%,5.4,12.3,34.10%,0.9,2.7,73.00%,3.5,4.8,3.1,0.6,2.6,9.6,1.2,0.1,2.5,1.7,15.2
107,1,53,53,33,42.80%,5.3,12.4,33.70%,1.5,4.6,84.10%,2.4,2.8,3.4,0.4,3,1.9,0.6,0.1,1.6,2,14.5
107,2,78,75,31.7,42.90%,5.4,12.5,34.20%,1.8,5.2,77.50%,1.4,1.8,6.1,1.2,4.9,1.7,0.7,0.4,1.4,3,13.9
107,3,75,71,27.8,50.70%,5,9.8,12.50%,0,0.1,69.10%,2.7,3.8,8.9,3.2,5.7,1.2,0.8,0.8,1.6,2.8,12.6
107,4,59,27,24.1,40.10%,3.9,9.6,35.50%,1.8,5.1,89.50%,2.9,3.2,3.7,0.5,3.2,1.4,0.8,0.3,1,1.6,12.4
107,5,28,0,24.4,44.30%,4,9,28.40%,0.7,2.4,81.00%,2.3,2.8,4.6,0.8,3.8,1.9,1.2,0.5,1.6,1.8,11
107,6,34,5,20.6,45.00%,4,8.8,35.40%,1.4,3.8,57.90%,0.3,0.6,1.9,0.5,1.5,3.7,0.7,0.1,1.8,2.1,9.6
107,7,50,21,21.8,36.80%,3,8,35.70%,1.9,5.3,81.80%,0.9,1.1,1.7,0.2,1.5,2.4,0.7,0.2,1.2,1.9,8.7
107,8,35,35,25.7,50.40%,3.3,6.6,33.30%,0.1,0.2,73.30%,1.8,2.5,7.8,2.6,5.2,0.5,0.4,1.2,1.3,3.3,8.5
107,9,73,8,19.4,47.50%,3,6.3,0.00%,0,0,57.70%,1.6,2.8,6.2,2.1,4.1,0.8,0.5,0.5,1.3,1.9,7.6
107,10,62,27,17.8,44.60%,2.8,6.2,0.00%,0,0,63.60%,1.4,2.1,6.2,2,4.1,0.8,0.8,1.1,1.4,3.3,6.9
107,11,58,4,17,40.40%,2.7,6.6,23.60%,0.4,1.9,78.00%,0.8,1,2.9,0.9,2,1,0.8,0.4,0.8,2.5,6.6
107,12,33,1,14.1,34.80%,2.2,6.2,26.10%,0.7,2.8,65.00%,0.8,1.2,1.2,0.4,0.8,2.3,0.4,0.1,0.7,2.1,5.8
107,13,17,0,11.5,55.70%,2,3.6,,0,0,69.00%,1.2,1.7,2.8,0.8,2,0.1,0.1,1.1,0.8,1.6,5.2
107,14,39,0,13.1,48.20%,1.7,3.5,41.70%,0.3,0.6,73.80%,1.2,1.7,1.8,0.7,1.1,0.5,0.7,0.2,0.6,1.1,4.9
107,15,24,1,11,40.40%,1.5,3.7,18.80%,0.1,0.7,64.30%,0.8,1.2,3.2,1.1,2.1,0.5,0.3,0.4,0.9,1.8,3.9
107,16,55,6,13.1,30.40%,1.2,3.9,20.40%,0.4,1.9,74.50%,0.6,0.9,1.2,0.4,0.8,0.5,0.7,0.1,0.7,1.3,3.4
107,17,43,1,9.6,37.70%,1.4,3.8,29.80%,0.3,1.1,83.30%,0.2,0.3,0.7,0.2,0.6,0.9,0.3,0,0.3,0.6,3.4
107,18,7,0,4.4,36.40%,0.6,1.6,20.00%,0.1,0.7,100.00%,0.6,0.6,0.4,0,0.4,0.3,0.4,0.1,0.3,1.1,1.9
107,19,3,0,4.3,50.00%,0.3,0.7,50.00%,0.3,0.7,,0,0,0.7,0.3,0.3,1,0,0.3,1,1.3,1
108,0,53,53,34.7,41.00%,5.4,13.2,36.40%,1.6,4.5,86.80%,7.1,8.2,5.3,1,4.3,2.5,0.8,0.4,1.5,1.6,19.5
108,1,82,1,28.7,43.20%,5.2,12,34.50%,1.4,4,80.60%,2.6,3.3,5.8,0.7,5.1,2.5,0.9,0.5,1.7,1.8,14.4
108,2,68,66,30.4,36.40%,4.8,13.3,31.90%,1.1,3.4,67.00%,2.1,3.1,3.4,0.5,2.9,5.5,1,0.5,3.2,2.1,12.8
108,3,67,64,25.3,55.80%,5.2,9.3,50.00%,0,0,61.30%,2,3.3,8.7,3.5,5.2,1.2,0.5,0.9,1.4,2.5,12.5
108,4,76,76,32.1,46.90%,4.7,10.1,35.40%,1.4,3.9,82.00%,1.4,1.8,2.9,0.7,2.2,1.9,1.3,0.2,1.3,1.9,12.3
108,5,28,0,23.6,44.50%,3.6,8.2,41.10%,1.6,3.8,81.90%,2.8,3.4,1.9,0.1,1.8,4.7,0.9,0.1,1.9,1.6,11.6
108,6,80,55,21.7,51.20%,3.8,7.5,33.30%,0.4,1.1,81.10%,1.9,2.4,7,2.3,4.7,2.4,1,0.6,1.3,2.6,10
108,7,32,3,17.1,41.70%,3.2,7.6,0.00%,0,0.1,61.60%,1.9,3.1,5.5,2,3.4,1.3,0.8,1.4,1.7,2.8,8.2
108,8,59,15,17.7,51.30%,3.3,6.4,24.50%,0.2,0.9,89.90%,1.1,1.2,4.9,1.3,3.6,0.9,0.2,0.3,0.9,1.9,7.9
108,9,39,15,26.6,36.80%,2.9,7.9,29.90%,1.1,3.7,85.70%,0.8,0.9,2.9,0.5,2.5,4.9,0.6,0.1,1.7,2.6,7.7
108,10,70,16,21.7,45.20%,3.2,7,38.50%,0.6,1.7,75.50%,0.6,0.8,4.2,1.2,3,1.4,0.8,0.7,0.9,2.6,7.5
108,11,20,9,15.4,50.50%,2.8,5.5,,0,0,45.80%,1.4,3,4.4,1.1,3.3,0.8,0.5,0.6,0.8,1.8,6.9
108,12,54,7,19.8,35.10%,2.2,6.2,29.60%,0.9,3.1,83.00%,0.7,0.9,1.9,0.3,1.6,2.1,0.5,0.3,1.1,1.5,6
108,13,26,22,18.2,47.00%,2.1,4.4,27.60%,0.3,1.1,72.00%,0.7,1,2.3,0.6,1.7,0.6,0.5,0.7,0.7,2,5.2
108,14,21,0,14.6,35.70%,1.2,3.3,32.50%,0.6,1.9,76.50%,0.6,0.8,1.5,0.4,1.1,0.7,0.3,0.3,0.3,1.9,3.6
108,15,8,0,10.3,38.10%,1,2.6,23.50%,0.5,2.1,87.50%,0.9,1,0.8,0.3,0.5,0.4,0.3,0,0.5,0.9,3.4
108,16,26,6,11.3,36.40%,0.9,2.5,31.30%,0.4,1.2,64.30%,0.3,0.5,1.5,0.3,1.2,0.6,0.5,0.2,0.8,0.9,2.6
108,17,47,2,7.9,35.50%,0.5,1.3,36.50%,0.4,1.1,,0,0,1.1,0.1,1,0.9,0.3,0.1,0.4,1.1,1.3
108,18,3,0,2.3,0.00%,0,0.3,0.00%,0,0.3,,0,0,0.3,0,0.3,0.3,0,0,0,0,0
109,0,63,63,33.9,44.70%,5.3,11.9,38.90%,2,5.1,90.20%,5.5,6.1,5.2,0.6,4.5,2.1,0.6,0.2,1.3,1.5,18.2
109,1,73,59,27.8,57.80%,6.8,11.7,32.40%,0.6,1.9,82.50%,2.6,3.1,9.8,2.9,6.9,4.9,0.8,0.8,2.3,2.9,16.7
109,2,71,33,30.9,46.10%,6.1,13.2,33.70%,1.5,4.6,72.70%,2,2.7,6.5,1.5,5,2,0.7,0.4,1.6,2.4,15.7
109,3,57,56,31.3,50.20%,5.6,11.2,42.00%,1.9,4.5,77.60%,1.8,2.4,3.1,0.8,2.3,2.9,1.2,0.1,1.3,1.6,14.9
109,4,60,19,28.4,44.30%,4.9,11.1,37.00%,1.5,3.9,75.30%,2.4,3.2,4.3,1,3.4,3.4,0.8,0.5,1.6,1.8,13.7
109,5,55,41,25.7,37.70%,3.8,10,31.50%,1,3.2,78.40%,2.4,3,3.2,0.5,2.7,3.9,0.7,0.2,2.2,1.7,11
109,6,82,9,21.5,40.40%,3.6,8.9,33.40%,1.4,4.2,88.30%,1.3,1.5,2.6,0.5,2.1,2.1,0.6,0.3,1.4,1.5,9.9
109,7,61,34,21.3,54.80%,3.7,6.8,0.00%,0,0.1,69.30%,2.1,3.1,7.6,3,4.6,0.9,0.7,0.7,1,2,9.6
109,8,75,40,27.3,44.40%,3.6,8.1,38.80%,1.4,3.6,71.40%,0.6,0.8,2.6,0.4,2.2,5.1,0.7,0.1,1.7,2.6,9.2
109,9,27,10,23.4,54.70%,3.7,6.7,0.00%,0,0,61.80%,1.7,2.8,6.4,1.9,4.6,2.6,0.7,1.1,1.7,2.9,9.1
109,10,45,29,18,50.70%,3.4,6.6,,0,0,49.60%,1.2,2.5,5.8,2,3.8,1.3,0.6,0.8,1.8,2,8
109,11,41,7,15.6,44.20%,2.3,5.2,45.30%,1.3,2.9,86.40%,0.5,0.5,2.7,0.6,2.1,1,0.5,0.5,0.9,1.9,6.4
109,12,62,9,13.6,45.10%,1.6,3.6,40.70%,0.7,1.8,75.00%,0.9,1.2,3,0.7,2.3,0.5,0.5,0.2,0.5,1,4.9
109,13,22,1,7.5,45.20%,1.5,3.3,32.10%,0.4,1.3,80.00%,0.4,0.5,0.8,0.2,0.5,0.5,0.3,0,0.4,0.5,3.8
109,14,7,0,6.6,46.70%,1,2.1,66.70%,0.3,0.4,100.00%,0.6,0.6,1.6,0.7,0.9,0.3,0,0.1,0.4,0.6,2.9
109,15,2,0,3.5,100.00%,0.5,0.5,,0,0,50.00%,0.5,1,1,0.5,0.5,1,0.5,0,0,1.5,1.5
109,16,20,0,7.6,39.10%,0.5,1.2,40.00%,0.4,1,100.00%,0.1,0.1,1.9,0.1,1.8,1.1,0.1,0,0.7,0.5,1.4
109,17,13,0,6.7,21.40%,0.2,1.1,0.00%,0,0.2,55.60%,0.4,0.7,1.2,0.3,0.8,0.5,0.4,0.1,0.3,1.1,0.8
109,18,6,0,2,66.70%,0.3,0.5,,0,0,,0,0,0.3,0.2,0.2,0.2,0,0.3,0.2,0.5,0.7
110,0,73,73,35.8,47.00%,6.6,14.1,41.70%,1.2,2.9,85.00%,5.8,6.8,15.2,4.5,10.7,2.5,0.6,0.4,2.1,2,20.2
110,1,73,73,32.3,45.00%,7.7,17.1,36.60%,0.8,2.2,75.30%,3,4,5.6,1.6,4,2.2,0.7,0.7,2.7,3,19.2
110,2,71,66,30.4,46.80%,4.5,9.6,44.00%,1.1,2.6,88.30%,1.7,1.9,2.8,0.5,2.3,5.4,1.3,0.1,2.2,2.1,11.8
110,3,23,3,20.1,49.80%,4.7,9.5,,0,0,70.30%,2.3,3.2,5.2,1.4,3.8,1.1,0.8,0.7,1.9,2,11.7
110,4,46,1,23.8,44.70%,3.3,7.4,41.70%,1.2,2.9,77.00%,2,2.7,3.2,0.8,2.4,1.2,0.6,0.2,1.3,2.2,9.8
110,5,79,63,26.2,39.70%,3.4,8.6,35.60%,1.3,3.7,69.60%,0.8,1.2,3,0.6,2.4,1.9,0.7,0.7,1.2,2.1,9
110,6,69,69,24.4,46.90%,3.9,8.4,,0,0,55.70%,0.9,1.7,5.2,1.9,3.3,1.5,0.8,2,2.2,3.3,8.8
110,7,56,22,24.3,38.40%,3,7.8,26.30%,0.5,1.8,70.80%,2.2,3.1,2.7,0.8,1.9,1.4,1.6,0.3,1.4,2.4,8.6
110,8,37,8,19.2,40.20%,2.6,6.5,35.90%,0.8,2.1,73.30%,1.2,1.6,1.5,0.5,1,3,0.7,0.1,1.7,1.7,7.2
110,9,65,4,21,45.00%,2.2,4.8,40.90%,0.7,1.8,80.20%,1.6,2,4.5,1.4,3.1,1.3,0.4,0.4,0.8,2.2,6.7
110,10,62,8,19,40.30%,2.6,6.4,39.70%,0.8,2,79.20%,0.7,0.9,1.7,0.4,1.3,1.2,0.5,0,0.9,1.4,6.6
110,11,65,11,13.6,51.70%,2.1,4,,0,0,76.30%,1.3,1.8,3,1.4,1.6,0.4,0.3,0.5,1.4,2.8,5.5
110,12,53,8,18.5,36.50%,2,5.6,31.00%,0.6,1.9,76.20%,0.6,0.8,1.5,0.2,1.2,3.4,0.6,0.1,2.1,1.1,5.3
110,13,42,0,10,35.70%,1.3,3.7,28.30%,0.4,1.4,78.60%,0.8,1,1.7,0.5,1.1,0.7,0.3,0.2,0.5,1,3.8
110,14,4,0,7.3,54.50%,1.5,2.8,75.00%,0.8,1,,0,0,0.5,0,0.5,0.3,0.3,0,1,1,3.8
110,15,39,1,8.6,43.50%,1.2,2.8,0.00%,0,0.1,50.00%,0.3,0.6,2.5,1.1,1.4,0.2,0.2,0.5,0.6,1.3,2.7
110,16,8,0,8.1,31.80%,0.9,2.8,33.30%,0.3,0.8,50.00%,0.6,1.3,0.8,0.1,0.6,0.8,0.4,0,0.8,0.5,2.6
111,0,55,55,39.1,44.80%,8.6,19.3,37.20%,1.9,5.1,82.40%,6.9,8.4,13.3,4.1,9.2,2,0.9,0.5,2.3,2.8,26
111,1,47,35,26.9,56.40%,5.4,9.7,,0,0,74.30%,3,4,7.4,3.9,3.5,0.7,0.6,0.7,1.9,2.1,13.9
111,2,53,53,33,44.00%,4.6,10.4,32.20%,0.9,2.9,89.10%,2,2.2,2.7,0.4,2.3,4.8,1.1,0.3,1.8,2.6,12.1
111,3,47,7,23.1,44.50%,4.7,10.6,37.60%,0.8,2.1,64.20%,1.3,2,4.4,0.8,3.6,1,0.4,0.4,1.7,1.8,11.5
111,4,41,11,25.2,40.00%,4.1,10.2,37.10%,1.3,3.5,77.60%,1.9,2.4,2.8,0.3,2.4,5.7,0.5,0,2.5,1.5,11.3
111,5,41,31,34.2,35.70%,3.4,9.5,34.00%,0.8,2.3,80.30%,3.1,3.8,4.2,0.5,3.7,8.2,2.2,0.2,3.2,2.4,10.6
111,6,66,15,21.5,41.20%,3.1,7.5,26.80%,0.6,2.1,69.70%,2.1,3,4.7,1.2,3.5,0.6,0.5,0.5,1.2,1.4,8.8
111,7,34,5,15.2,47.00%,2.8,5.9,0.00%,0,0,76.20%,1.9,2.5,3.6,1.2,2.4,0.6,0.4,1,1.2,1.6,7.4
111,8,47,26,24.3,42.30%,2.4,5.8,33.90%,0.8,2.3,79.20%,1.2,1.5,3.6,0.9,2.7,0.9,0.7,0.4,1,1.8,6.9
111,9,51,4,19.1,40.40%,2.4,5.9,32.40%,0.7,2.1,80.00%,0.6,0.8,1.9,0.3,1.7,0.6,0.5,0.2,0.5,1.1,6.1
111,10,65,64,22.6,39.80%,2.4,6.1,31.40%,0.8,2.6,70.60%,0.4,0.5,2.7,0.4,2.4,0.9,0.5,0.7,0.9,1.8,6
111,11,29,23,16.3,45.40%,2,4.5,,0,0,43.20%,0.6,1.3,3.3,1.2,2.1,0.6,0.3,0.9,1.1,2,4.6
111,12,51,0,17.3,39.00%,1.4,3.6,24.80%,0.5,2,74.50%,0.8,1.1,3,1,2,0.4,0.4,0.4,0.7,1.7,4.1
111,13,19,0,12.8,39.00%,1.2,3.1,20.00%,0.1,0.5,82.40%,0.7,0.9,1.4,0.5,0.9,1.6,0.4,0.2,0.9,1.2,3.3
111,14,15,1,9.7,33.30%,0.6,1.8,46.70%,0.5,1,83.30%,0.7,0.8,1.3,0.3,1,1.6,0.3,0.1,0.8,0.7,2.3
112,0,18,18,34.4,35.20%,5.8,16.6,21.70%,1.1,5.1,70.40%,5.6,7.9,14,3.6,10.4,2.3,0.7,0.5,2.2,1.9,18.3
112,1,62,62,31.6,52.00%,6.2,12,,0,0,74.40%,3.9,5.2,8.8,3.7,5.1,0.9,0.7,0.8,1.6,2.3,16.3
112,2,64,64,31.8,50.70%,4.4,8.8,29.20%,0.5,1.9,75.20%,2.9,3.9,5.7,1.6,4.1,2.8,1.5,1,1.9,1.3,12.4
112,3,78,56,24.6,43.00%,4.3,10.1,33.20%,0.8,2.5,70.60%,2.5,3.5,5.5,1.2,4.3,0.6,0.6,0.5,1.3,1.6,12
112,4,82,82,30.2,45.30%,4.5,9.9,31.10%,0.8,2.6,84.80%,1.7,2,2.5,0.5,2,3.8,1,0.2,1.6,2.3,11.5
112,5,74,2,23.2,41.70%,4.3,10.2,34.60%,1.3,3.8,78.40%,1.4,1.8,2.8,0.5,2.3,4,0.4,0,2,1.8,11.3
112,6,57,47,29.6,36.00%,3.2,9,29.30%,0.5,1.6,79.90%,3.7,4.6,4,0.8,3.2,7.3,2.4,0.1,3,2.5,10.7
112,7,23,1,22.2,41.40%,3.4,8.3,32.10%,1.1,3.5,76.20%,1.4,1.8,3.1,0.7,2.4,1.1,0.6,0.3,1,1.3,9.4
112,8,80,9,25.2,46.80%,3.9,8.4,0.00%,0,0.1,65.00%,0.8,1.3,5.1,1.8,3.3,0.8,1.1,0.5,0.7,1.9,8.7
112,9,77,16,23.9,37.20%,3.1,8.2,29.50%,1.1,3.7,72.00%,1.4,1.9,2.3,0.5,1.7,3.7,0.7,0.4,1.9,1.5,8.6
112,10,11,4,18.8,40.30%,2.8,7,31.30%,0.5,1.5,58.30%,0.6,1.1,3.3,0.8,2.5,0.4,0.9,0.3,0.9,1.6,6.7
112,11,5,5,24.4,31.40%,2.2,7,0.00%,0,1.8,70.00%,1.4,2,2.8,0.6,2.2,4.6,0.6,0,1.4,1,5.8
112,12,36,13,17.9,51.80%,2,3.9,30.80%,0.4,1.4,87.50%,0.6,0.7,2.8,0.9,1.9,0.7,0.4,0.1,0.4,1.3,5
112,13,17,12,17,38.20%,1.7,4.5,33.30%,0.5,1.4,60.00%,0.7,1.2,2.3,0.9,1.4,1.2,0.7,0.4,0.6,1.8,4.6
112,14,76,19,15.9,45.70%,1.7,3.7,,0,0,76.80%,0.7,0.9,3.4,0.8,2.6,0.4,0.6,1.2,0.8,2.4,4
112,15,30,0,9.5,64.00%,1.6,2.5,,0,0,61.80%,0.7,1.1,2,0.7,1.3,0.3,0.2,0.9,0.4,1.6,3.9
112,16,4,0,7.8,20.00%,0.5,2.5,0.00%,0,1,100.00%,1.5,1.5,1,0,1,0.8,0.5,0,0,0.8,2.5
112,17,20,0,8.1,36.80%,0.7,1.9,,0,0,20.00%,0.2,1,2.4,1.2,1.2,0.2,0.4,0.3,0.6,1.3,1.6
112,18,4,0,5.3,0.00%,0,2.3,0.00%,0,0.8,50.00%,0.3,0.5,0.3,0.3,0,0,0,0,0,0.3,0.3
113,0,77,77,36.3,45.70%,8.4,18.5,37.60%,2.5,6.6,82.10%,6.8,8.2,12.5,2.9,9.6,4.4,0.8,0.5,2.5,1.8,26.1
113,1,68,68,32,43.00%,6.5,15,38.70%,1.7,4.4,89.10%,4.5,5,3,0.5,2.5,1.8,1,0.1,1.6,1.8,19.1
113,2,54,54,30.8,54.10%,7,13,,0,0,74.70%,3.4,4.6,8.7,3.8,4.9,0.9,0.6,0.4,1.6,2.4,17.5
113,3,81,81,32.2,48.10%,4.8,10,28.00%,0.7,2.6,71.80%,2,2.8,2.6,0.8,1.8,1.7,1.9,0.4,1.3,2.6,12.3
113,4,82,82,32.1,38.10%,3.1,8.2,33.10%,0.5,1.6,80.20%,2.8,3.5,4.2,0.7,3.4,8.6,2.3,0.1,2.7,2.7,9.5
113,5,79,1,18.6,38.70%,3.2,8.3,31.60%,0.9,2.9,79.00%,1,1.3,1.9,0.2,1.7,3.8,0.3,0,1.6,1.6,8.4
113,6,41,8,18.4,39.40%,2.4,6.2,35.00%,1,2.9,82.10%,0.8,1,2.5,0.5,2,0.8,0.5,0,0.6,1.4,6.7
113,7,81,7,20.2,46.40%,2.9,6.3,0.00%,0,0.1,56.70%,0.5,0.8,4.1,1.4,2.7,1,0.8,0.7,0.5,1.8,6.3
113,8,11,0,14.7,35.20%,1.7,4.9,13.30%,0.2,1.4,87.50%,1.3,1.5,2.4,0.3,2.1,0.1,0.4,0.4,0.5,0.8,4.9
113,9,31,10,19.6,59.80%,2.1,3.5,,0,0,42.00%,0.7,1.6,5.6,1.8,3.8,0.8,0.3,1.6,0.8,2.1,4.8
113,10,60,15,13.7,49.80%,1.9,3.8,100.00%,0,0,63.40%,1,1.6,5,1.7,3.3,0.7,0.5,0.8,0.9,1.8,4.8
113,11,63,0,10.6,32.10%,1.2,3.8,29.40%,0.5,1.6,75.60%,1.1,1.4,1.3,0.3,1,1.1,0.4,0.3,0.8,0.6,4
113,12,37,0,7.8,46.00%,1.5,3.4,27.30%,0.1,0.3,65.00%,0.7,1.1,1.4,0.6,0.8,0.2,0.2,0,0.4,0.6,3.9
113,13,53,5,12.3,37.90%,1.3,3.3,36.00%,0.6,1.7,93.80%,0.3,0.3,2.5,0.7,1.8,0.4,0.3,0,0.2,1.1,3.4
113,14,55,2,14.7,44.70%,1.3,2.9,21.40%,0.1,0.3,68.50%,0.7,1,2.2,0.9,1.3,0.4,0.4,0.2,0.7,0.9,3.3
113,15,28,0,3.5,41.30%,0.7,1.6,27.30%,0.2,0.8,0.00%,0,0.1,0.4,0,0.3,0.5,0,0,0.3,0.2,1.6
113,16,2,0,6.5,0.00%,0,0.5,0.00%,0,0.5,100.00%,1,1,1.5,0,1.5,0,0,0,0.5,0.5,1
114,0,39,36,33.4,42.70%,6.8,16,39.30%,1.9,4.9,88.10%,4.4,4.9,3.6,0.5,3.2,2.3,0.8,0,1.9,1.9,20
114,1,82,82,36.2,43.70%,6.1,13.9,31.00%,0.5,1.5,76.00%,4.3,5.7,4.6,1.6,2.9,2.1,1,0.6,2.2,2.3,16.9
114,2,48,48,33.4,45.10%,6,13.4,29.20%,0.4,1.4,68.20%,1.8,2.7,5.1,1.6,3.5,2.8,1.8,0.4,1.6,2.4,14.3
114,3,38,13,22.8,48.90%,5.1,10.4,39.20%,0.5,1.3,71.70%,2.7,3.8,4.1,1.7,2.4,1.2,0.5,0.2,0.9,1.3,13.5
114,4,31,29,26.4,42.40%,4.5,10.6,,0,0,83.70%,3.5,4.2,7.5,2.9,4.7,0.9,0.6,0.4,1.4,1.9,12.5
114,5,41,19,28,40.30%,4.4,10.9,34.70%,1.4,4.1,85.10%,2,2.3,2.4,0.3,2.1,6.4,0.7,0.2,2.5,2.5,12.2
114,6,11,1,23.9,42.90%,4.1,9.5,35.50%,1,2.8,87.90%,2.6,3,3.2,0,3.2,1.8,0.6,0,0.9,1.6,11.8
114,7,24,16,28.4,41.80%,3.9,9.4,19.50%,0.3,1.7,70.50%,2.3,3.3,3.9,1.3,2.6,3.3,2.3,0.2,2.1,2.6,10.5
114,8,22,22,31.5,35.60%,3.5,10,25.50%,0.6,2.3,80.30%,2.6,3.2,5.7,0.9,4.8,8.8,1.7,0,2.9,2.7,10.3
114,9,77,40,24.8,42.20%,3.7,8.8,34.10%,0.7,2.2,84.20%,1.9,2.3,2.8,0.4,2.4,3.6,0.7,0.1,2.5,2.1,10.1
114,10,73,49,30,50.60%,3.5,7,16.70%,0,0.1,78.30%,2.6,3.3,8.3,3.1,5.3,2,1,1.7,1.7,2.6,9.7
114,11,17,9,24.8,51.30%,3.4,6.6,33.30%,0.2,0.7,82.50%,1.9,2.4,5.1,1.9,3.1,1.4,1.1,1.5,1.1,2.2,9
114,12,5,5,19.6,58.10%,3.6,6.2,0.00%,0,0.2,50.00%,0.4,0.8,5.2,0.4,4.8,1.6,1,0.8,0.2,2.6,7.6
114,13,29,22,24.9,41.80%,3.1,7.3,12.50%,0,0.3,65.90%,1,1.5,5.4,1.6,3.8,1,0.6,0.3,1.5,2.9,7.2
114,14,67,4,19.2,43.30%,2.5,5.8,36.40%,0.8,2.1,82.70%,1,1.2,3,0.5,2.5,1,0.7,0.1,0.7,1.1,6.8
114,15,4,0,17.8,35.00%,1.8,5,30.80%,1,3.3,100.00%,1,1,1.5,0.3,1.3,1,0.8,0,0.5,0.8,5.5
114,16,57,3,15.7,42.10%,2.2,5.2,30.40%,0.1,0.4,64.10%,0.7,1.1,3.8,0.9,2.9,0.8,0.5,0.3,0.6,1.5,5.2
114,17,6,1,11.3,85.70%,2,2.3,,0,0,37.50%,0.5,1.3,3.5,1.2,2.3,0.7,0.2,0.5,0.3,1,4.5
114,18,46,4,16.2,45.90%,1.7,3.7,31.40%,0.3,1.1,82.80%,0.5,0.6,2.9,0.7,2.2,0.6,0.3,0.2,0.4,1.9,4.3
114,19,29,7,18.9,42.60%,1.8,4.2,21.40%,0.2,1,63.20%,0.4,0.7,2.4,0.5,1.9,3.1,1,0.2,1,1.7,4.2
114,20,17,0,12.6,43.20%,1.1,2.6,,0,0,57.90%,1.3,2.2,4.5,1.4,3.2,0.9,0.2,0.5,0.5,1.8,3.5
114,21,19,0,8.1,32.20%,1,3.1,33.30%,0.7,2.1,100.00%,0.1,0.1,1,0.3,0.7,0.7,0.2,0,0.4,0.7,2.8
114,22,5,0,4.8,37.50%,0.6,1.6,,0,0,100.00%,0.4,0.4,1,0.4,0.6,0,0.2,0,0.4,1.6,1.6
114,23,25,0,4.4,33.30%,0.3,1,16.70%,0,0.2,75.00%,0.5,0.6,0.6,0.2,0.4,0.1,0.1,0,0.1,0.2,1.2
114,24,2,0,10,,0,0,,0,0,,0,0,0.5,0,0.5,1,0,0,0,0,0
115,0,81,81,35.1,45.90%,7.3,16,30.00%,0.7,2.3,76.10%,5.3,7,3.6,1.3,2.3,2,1,0.6,2.2,2,20.7
115,1,82,82,32,54.20%,7.6,14.1,34.10%,0.4,1.1,81.10%,2.7,3.4,10.5,2.8,7.7,2,0.7,1.7,2.2,3,18.3
115,2,82,33,28,45.20%,5.3,11.7,38.90%,1.5,3.9,79.30%,2,2.5,2.8,0.3,2.5,3.1,0.8,0.2,1.9,2.4,14
115,3,39,12,21.4,37.70%,3.2,8.6,36.90%,1,2.6,88.00%,3.2,3.6,2.1,0.3,1.8,1.2,0.4,0,1.1,1.7,10.6
115,4,82,0,20.5,46.50%,3.9,8.3,28.90%,0.5,1.9,76.40%,2.3,3,3.3,1.2,2,0.6,0.3,0.1,0.9,1.1,10.5
115,5,82,39,27.1,53.20%,3.8,7.1,30.00%,0.1,0.2,82.70%,2.5,3,7.1,1.9,5.2,1.7,1.1,1.2,1.7,2.7,10.1
115,6,76,76,30.6,37.40%,2.9,7.7,32.60%,0.8,2.5,84.70%,3.5,4.1,4.3,0.5,3.8,8.7,2.1,0.1,2.5,2.6,10.1
115,7,60,0,18,46.80%,1.8,3.9,38.40%,0.8,2.1,72.70%,0.7,0.9,3.5,0.8,2.7,1.4,0.4,0.4,0.8,2.6,5.1
115,8,12,3,13,38.00%,1.6,4.2,,0,0,80.00%,1.3,1.7,1.8,0.6,1.2,0.9,0.1,0,0.8,1.8,4.5
115,9,37,0,15.6,35.90%,1.5,4.2,30.20%,0.4,1.4,71.80%,0.8,1.1,1.3,0.2,1.1,2.9,0.8,0.1,0.9,0.9,4.2
115,10,26,0,10.8,62.10%,1.4,2.2,25.00%,0,0.2,78.90%,0.6,0.7,0.9,0.2,0.7,2.2,0.3,0,1,1.2,3.4
115,11,38,38,14.7,47.00%,1.4,3,0.00%,0,0,66.70%,0.4,0.6,3.9,0.4,3.6,1.6,0.7,0.3,0.4,1.8,3.2
115,12,77,44,19,44.50%,1.3,3,17.40%,0.1,0.3,68.40%,0.2,0.2,1.9,0.4,1.5,1,0.5,0.2,0.4,0.8,2.9
115,13,52,2,9.3,36.60%,1,2.8,28.10%,0.2,0.6,65.40%,0.3,0.5,2.1,0.4,1.8,0.6,0.3,0.2,0.7,1.5,2.5
115,14,18,0,10.8,56.30%,1,1.8,,0,0,41.20%,0.4,0.9,2.3,0.7,1.7,0.3,0.2,0.1,0.4,1.6,2.4
115,15,33,0,8.4,40.30%,0.8,1.9,34.00%,0.5,1.5,100.00%,0.2,0.2,0.6,0.2,0.5,0.3,0.1,0,0.4,1,2.3
116,0,82,82,37,54.20%,9.8,18,36.70%,1.2,3.4,83.20%,4.3,5.2,12.3,3.6,8.7,2.7,0.7,1.3,2.6,2.9,25.1
116,1,82,82,37.2,45.20%,8.6,19.1,35.60%,1.3,3.5,76.00%,5,6.6,4,1.2,2.8,2.3,1,0.4,2.3,2.2,23.6
